=== ЛОГ ЭПИЗОДА 100 ===
Цель находится в позиции: [-1.3061504  -0.49281315]
--------------------------------------------------
Шаг: 061 | Действие: 0 | Поз: (-0.00, -0.02) | Угол: -0.01 | Награда: 0.33
Шаг: 062 | Действие: 0 | Поз: (0.00, -0.03) | Угол: -0.01 | Награда: -0.10
Шаг: 063 | Действие: 4 | Поз: (0.00, -0.03) | Угол: -0.01 | Награда: 0.03
Шаг: 064 | Действие: 0 | Поз: (0.00, -0.03) | Угол: -0.01 | Награда: 0.17
Шаг: 065 | Действие: 0 | Поз: (0.00, -0.04) | Угол: -0.01 | Награда: 0.18
Шаг: 066 | Действие: 3 | Поз: (0.00, -0.04) | Угол: -0.02 | Награда: 0.18
Шаг: 067 | Действие: 4 | Поз: (0.00, -0.04) | Угол: -0.02 | Награда: -0.02
Шаг: 068 | Действие: 0 | Поз: (-0.00, -0.05) | Угол: -0.02 | Награда: 0.23
Шаг: 069 | Действие: 2 | Поз: (-0.00, -0.05) | Угол: -0.02 | Награда: 0.03
Шаг: 070 | Действие: 1 | Поз: (-0.00, -0.04) | Угол: -0.02 | Награда: -0.03
Шаг: 071 | Действие: 4 | Поз: (-0.00, -0.05) | Угол: -0.02 | Награда: -0.05
Шаг: 072 | Действие: 3 | Поз: (-0.00, -0.05) | Угол: -0.02 | Награда: 0.01
Шаг: 073 | Действие: 2 | Поз: (0.00, -0.04) | Угол: -0.02 | Награда: -0.09
Шаг: 074 | Действие: 2 | Поз: (0.00, -0.04) | Угол: -0.02 | Награда: -0.11
Шаг: 075 | Действие: 3 | Поз: (0.00, -0.04) | Угол: -0.02 | Награда: 0.03
Шаг: 076 | Действие: 0 | Поз: (-0.00, -0.05) | Угол: -0.02 | Награда: 0.23
Шаг: 077 | Действие: 2 | Поз: (0.00, -0.05) | Угол: -0.02 | Награда: -0.08
Шаг: 078 | Действие: 3 | Поз: (0.00, -0.05) | Угол: -0.02 | Награда: -0.13
Шаг: 079 | Действие: 2 | Поз: (0.00, -0.05) | Угол: -0.02 | Награда: 0.04
Шаг: 080 | Действие: 0 | Поз: (0.00, -0.05) | Угол: -0.02 | Награда: 0.16
Шаг: 081 | Действие: 2 | Поз: (0.00, -0.05) | Угол: -0.02 | Награда: 0.01
